file,true_language,pred_language,true_emotion,pred_emotion,emo_time,lang_time,total_sample_time
H_A_H_0325.wav,hindi,hindi,happy,happy,2.6865,0.372,3.0585
H_A_H_0326.wav,hindi,hindi,happy,happy,0.0641,0.1558,0.21989999999999998
H_A_H_0327.wav,hindi,hindi,happy,happy,0.0567,0.15,0.2067
H_A_H_0001.wav,hindi,hindi,happy,neutral,0.0569,0.1504,0.2073
H_A_H_0002.wav,hindi,hindi,happy,happy,0.0561,0.1471,0.2032
H_A_H_0113.wav,hindi,hindi,happy,happy,0.054,0.1495,0.2035
H_A_H_0224.wav,hindi,hindi,happy,happy,0.0576,0.1471,0.2047
H_A_H_0328.wav,hindi,hindi,happy,neutral,0.0536,0.148,0.2016
H_A_H_0339.wav,hindi,hindi,happy,neutral,0.0541,0.1498,0.2039
H_A_H_0350.wav,hindi,hindi,happy,happy,0.0543,0.1453,0.1996
H_A_H_0361.wav,hindi,hindi,happy,happy,0.0539,0.1435,0.1974
H_A_H_0372.wav,hindi,hindi,happy,happy,0.0537,0.1436,0.1973
H_A_H_0383.wav,hindi,hindi,happy,happy,0.0556,0.1451,0.2007
H_A_H_0003.wav,hindi,hindi,happy,happy,0.0532,0.144,0.1972
H_A_H_0014.wav,hindi,hindi,happy,happy,0.0535,0.1447,0.1982
H_A_H_0025.wav,hindi,hindi,happy,disgust,0.0546,0.1446,0.19920000000000002
H_A_H_0036.wav,hindi,hindi,happy,happy,0.0536,0.1427,0.1963
H_A_H_0047.wav,hindi,hindi,happy,happy,0.0539,0.1578,0.2117
H_A_H_0058.wav,hindi,hindi,happy,happy,0.0525,0.158,0.2105
H_A_H_0069.wav,hindi,hindi,happy,happy,0.0541,0.1486,0.20270000000000002
H_A_H_0080.wav,hindi,hindi,happy,happy,0.053,0.1448,0.1978
H_A_H_0091.wav,hindi,hindi,happy,disgust,0.0585,0.1409,0.1994
H_A_H_0102.wav,hindi,hindi,happy,happy,0.0542,0.1436,0.1978
H_A_H_0114.wav,hindi,hindi,happy,happy,0.0519,0.1479,0.1998
H_A_H_0125.wav,hindi,hindi,happy,happy,0.057,0.1431,0.2001
H_A_H_0136.wav,hindi,hindi,happy,happy,0.0548,0.147,0.20179999999999998
H_A_H_0147.wav,hindi,hindi,happy,happy,0.0523,0.1456,0.19790000000000002
H_A_H_0158.wav,hindi,hindi,happy,happy,0.0563,0.1325,0.18880000000000002
H_A_H_0169.wav,hindi,hindi,happy,happy,0.0508,0.146,0.19679999999999997
H_A_H_0180.wav,hindi,hindi,happy,happy,0.0548,0.1424,0.1972
H_A_H_0191.wav,hindi,hindi,happy,happy,0.0576,0.1463,0.20390000000000003
H_A_H_0202.wav,hindi,hindi,happy,happy,0.0533,0.144,0.19729999999999998
H_A_H_0213.wav,hindi,hindi,happy,happy,0.0538,0.1434,0.1972
H_A_H_0225.wav,hindi,hindi,happy,happy,0.0558,0.1436,0.19940000000000002
H_A_H_0236.wav,hindi,hindi,happy,happy,0.0569,0.1411,0.198
H_A_H_0247.wav,hindi,hindi,happy,happy,0.0511,0.1476,0.19870000000000002
H_A_H_0258.wav,hindi,hindi,happy,happy,0.0571,0.1463,0.20340000000000003
H_A_H_0269.wav,hindi,hindi,happy,angry,0.053,0.1429,0.1959
H_A_H_0280.wav,hindi,hindi,happy,happy,0.0532,0.1443,0.1975
H_A_H_0291.wav,hindi,hindi,happy,happy,0.0554,0.1425,0.1979
H_A_H_0302.wav,hindi,hindi,happy,happy,0.0805,0.1934,0.2739
H_A_H_0313.wav,hindi,hindi,happy,happy,0.0711,0.198,0.2691
H_A_H_0324.wav,hindi,hindi,happy,sad,0.0725,0.1917,0.2642
H_A_H_0329.wav,hindi,hindi,happy,happy,0.0667,0.1843,0.251
H_A_H_0330.wav,hindi,hindi,happy,happy,0.0671,0.1763,0.2434
H_A_H_0331.wav,hindi,hindi,happy,happy,0.0696,0.1768,0.2464
H_A_H_0332.wav,hindi,hindi,happy,happy,0.0722,0.182,0.2542
H_A_H_0333.wav,hindi,hindi,happy,happy,0.0723,0.1662,0.2385
H_A_H_0334.wav,hindi,hindi,happy,happy,0.0847,0.1734,0.2581
H_A_H_0335.wav,hindi,hindi,happy,happy,0.0605,0.1848,0.2453
H_A_H_0336.wav,hindi,hindi,happy,happy,0.0787,0.2228,0.3015
